Cobalt II;water;surface water;kilogram;111
Xenon-135m;air;low population density, long-term;kilo Becquerel;112
Potassium I;air;unspecified;kilogram;113
Zirconium;natural resource;in ground;kilogram;114
BOD5, Biological Oxygen Demand;water;ground-;kilogram;115
Polychlorinated biphenyls;air;urban air close to ground;kilogram;116
Trifluoromethane;air;unspecified;kilogram;117
Particulate Matter, > 10 um;air;urban air close to ground;kilogram;118
Neptunium-237;water;unspecified;kilo Becquerel;119
Ethylene;water;unspecified;kilogram;120
Iodine-135;air;non-urban air or from high stacks;kilo Becquerel;121
Acetonitrile;air;non-urban air or from high stacks;kilogram;122
Silicon tetrachloride;air;urban air close to ground;kilogram;123
Chlorosulfonic acid;water;ground-, long-term;kilogram;124
Nitrogen fluoride;air;non-urban air or from high stacks;kilogram;125
Furan;air;unspecified;kilogram;126
Vanadium V;soil;unspecified;kilogram;127
Americium-241;air;low population density, long-term;kilo Becquerel;128
Fipronil;soil;forestry;kilogram;129
Antimony ion;air;non-urban air or from high stacks;kilogram;130
Copper ion;air;unspecified;kilogram;131
Niobium;natural resource;in ground;kilogram;132
Propham;soil;agricultural;kilogram;133
Benzal chloride;water;ocean;kilogram;134
2-Aminopropanol;air;non-urban air or from high stacks;kilogram;135
Particulate Matter, > 2.5 um and < 10um;air;unspecified;kilogram;136
Antimony-122;water;surface water;kilo Becquerel;137
Copper oxychloride;air;non-urban air or from high stacks;kilogram;138
Occupation, permanent crop, irrigated;natural resource;land;square meter-year;139
Chlorothalonil;soil;forestry;kilogram;140
Propachlor;soil;agricultural;kilogram;141
Dienochlor;soil;agricultural;kilogram;142
Chloride;water;surface water;kilogram;143
Occupation, mineral extraction site;natural resource;land;square meter-year;144
Fluoboric acid;water;ground-;kilogram;145
Chrysene;air;non-urban air or from high stacks;kilogram;146
Palladium II;air;unspecified;kilogram;147
Azoxystrobin;soil;forestry;kilogram;148
Radium-226;water;ground-;kilo Becquerel;149
Dioctyl phthalate;water;surface water;kilogram;150
Cadmium;natural resource;in ground;kilogram;151
Transformation, to forest, unspecified;natural resource;land;square meter;152
Antimony-124;air;unspecified;kilo Becquerel;153
Radioactive species, Nuclides, unspecified;water;ocean;kilo Becquerel;154
Carbon monoxide, from soil or biomass stock;air;non-urban air or from high stacks;kilogram;155
Vanadium V;air;non-urban air or from high stacks;kilogram;156
Sodium-24;water;ocean;kilo Becquerel;157
Iodopropynyl butylcarbamate;air;non-urban air or from high stacks;kilogram;158
Chlorantraniliprole;air;non-urban air or from high stacks;kilogram;159
Beryllium II;water;ocean;kilogram;160
Thionyl chloride;air;unspecified;kilogram;161
Transformation, to industrial area;natural resource;land;square meter;162
Metalaxyl-M;air;non-urban air or from high stacks;kilogram;163
Benzovindiflupyr;soil;agricultural;kilogram;164
Thiabendazole;water;ground-;kilogram;165
Dichromate;water;ground-, long-term;kilogram;166
Nitrate;soil;unspecified;kilogram;167
Transformation, from river, artificial;natural resource;land;square meter;168
Nitrobenzene;air;unspecified;kilogram;169
Actinides, radioactive, unspecified;air;unspecified;kilo Becquerel;170
Net operating surplus;economic;primary production factor;EUR2005;171
Disinfectants, unspecified;water;unspecified;kilogram;172
Methomyl;water;surface water;kilogram;173
Americium-241;water;unspecified;kilo Becquerel;174
Transformation, from urban, green area;natural resource;land;square meter;175
Nitrate;water;ground-;kilogram;176
Pentafluoroethane;air;non-urban air or from high stacks;kilogram;177
Radium-226;air;low population density, long-term;kilo Becquerel;178
Gibberellic acid;soil;agricultural;kilogram;179
Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin;air;urban air close to ground;kilogram;180
Boron;air;non-urban air or from high stacks;kilogram;181
Kresoxim-methyl;soil;agricultural;kilogram;182
Chlormequat;soil;agricultural;kilogram;183
Fentin hydroxide;soil;agricultural;kilogram;184
1,2-Dichloro-1,1,2,2-tetrafluoroethane;air;urban air close to ground;kilogram;185
Trimethylamine;air;low population density, long-term;kilogram;186
Urea;water;ocean;kilogram;187
Cypermethrin;water;ground-;kilogram;188
Benzaldehyde;air;low population density, long-term;kilogram;189
Energy, geothermal, converted;natural resource;in ground;megajoule;190
Methane, from soil or biomass stock;air;low population density, long-term;kilogram;191
Thiodicarb;air;non-urban air or from high stacks;kilogram;192
Erbium;natural resource;in ground;kilogram;193
Sulfur dioxide;air;non-urban air or from high stacks;kilogram;194
Sodium dichromate;air;non-urban air or from high stacks;kilogram;195
Dichlobenil;soil;agricultural;kilogram;196
Magnesium;water;unspecified;kilogram;197
Plutonium-241;water;unspecified;kilo Becquerel;198
o-Nitrotoluene;air;unspecified;kilogram;199
Radium-228;air;unspecified;kilo Becquerel;200
Xenon-135;air;unspecified;kilo Becquerel;201
Occupation, permanent crop, irrigated, intensive;natural resource;land;square meter-year;202
Ethyl benzene;air;non-urban air or from high stacks;kilogram;203
Bifenazate;soil;agricultural;kilogram;204
Maneb;soil;agricultural;kilogram;205
Sedaxane;soil;agricultural;kilogram;206
Octaethylene glycol monododecyl ether;air;unspecified;kilogram;207
Sodium methoxide;water;unspecified;kilogram;208
Neptunium-237;air;low population density, long-term;kilo Becquerel;209
Ioxynil;soil;agricultural;kilogram;210
1,1,2-Trichloro-1,2,2-trifluoroethane;air;urban air close to ground;kilogram;211
Waste mass, total, placed in landfill;inventory indicator;waste;kilogram;212
Butane;air;low population density, long-term;kilogram;213
Hydrocarbons, chlorinated;air;urban air close to ground;kilogram;214
Oils, non-fossil;water;surface water;kilogram;215
Transformation, from annual crop, non-irrigated, extensive;natural resource;land;square meter;216
Carboxin;soil;agricultural;kilogram;217
Isopropanol;air;non-urban air or from high stacks;kilogram;218
Boron;water;unspecified;kilogram;219
Carbon dioxide, to soil or biomass stock;soil;forestry;kilogram;220
Hydrogen;air;urban air close to ground;kilogram;221
Dibenz(a,h)anthracene;air;non-urban air or from high stacks;kilogram;222
Prochloraz;soil;agricultural;kilogram;223
Silicon;soil;agricultural;kilogram;224
Thorium-234;water;surface water;kilo Becquerel;225
t-Butyl amine;water;surface water;kilogram;226
Cumene;water;unspecified;kilogram;227
Methylcyclohexane;water;unspecified;kilogram;228
Caesium;natural resource;in ground;kilogram;229
Tetrachloroethylene;water;ground-;kilogram;230
Solids, inorganic;water;unspecified;kilogram;231
Silicon;soil;forestry;kilogram;232
Sodium I;water;ocean;kilogram;233
PAH, polycyclic aromatic hydrocarbons;water;ground-, long-term;kilogram;234
Methane, fossil;air;non-urban air or from high stacks;kilogram;235
Ethylamine;water;ground-, long-term;kilogram;236
Actinides, radioactive, unspecified;air;low population density, long-term;kilo Becquerel;237
Radioactive species, Nuclides, unspecified;water;ground-;kilo Becquerel;238
Azoxystrobin;air;non-urban air or from high stacks;kilogram;239
Barium II;water;ground-;kilogram;240
o-Nitrotoluene;air;non-urban air or from high stacks;kilogram;241
Epichlorohydrin;air;urban air close to ground;kilogram;242
Silicon tetrafluoride;air;urban air close to ground;kilogram;243
Ruthenium;natural resource;in ground;kilogram;244
Fenoxycarb;soil;agricultural;kilogram;245
t-Butyl methyl ether;water;unspecified;kilogram;246
MCPA;water;surface water;kilogram;247
o-Dichlorobenzene;water;unspecified;kilogram;248
Trinexapac-ethyl;soil;agricultural;kilogram;249
Imazaquin;air;non-urban air or from high stacks;kilogram;250
Diflubenzuron;soil;forestry;kilogram;251
Mercury II;water;unspecified;kilogram;252
Emamectin benzoate;soil;forestry;kilogram;253
S-Metolachlor;air;non-urban air or from high stacks;kilogram;254
Butyrolactone;water;surface water;kilogram;255
Sodium hydroxide;air;urban air close to ground;kilogram;256
Carbon monoxide, from soil or biomass stock;air;low population density, long-term;kilogram;257
Xenon-138;air;low population density, long-term;kilo Becquerel;258
Sulfur trioxide;air;unspecified;kilogram;259
1,1-Dichloro-1-fluoroethane;air;urban air close to ground;kilogram;260
Carbon-14;air;urban air close to ground;kilo Becquerel;261
Acetyl chloride;water;ground-;kilogram;262
Transformation, to pasture, man made;natural resource;land;square meter;263
Arsine;air;non-urban air or from high stacks;kilogram;264
Ethylene glycol monoethyl ether;water;unspecified;kilogram;265
1,4-Butanediol;water;ground-;kilogram;266
Mercury;natural resource;in ground;kilogram;267
Iodine;water;surface water;kilogram;268
Dichloromethane;water;ocean;kilogram;269
Fluoride;soil;agricultural;kilogram;270
Cyanide;water;ocean;kilogram;271
Ethylamine;water;unspecified;kilogram;272
Nitrogen;water;ground-, long-term;kilogram;273
Dimethyl phthalate;water;ocean;kilogram;274
Permethrin;air;non-urban air or from high stacks;kilogram;275
Uranium alpha;water;surface water;kilo Becquerel;276
Antimony-124;water;surface water;kilo Becquerel;277
Radon-220;air;urban air close to ground;kilo Becquerel;278
Chloroacetic acid;air;unspecified;kilogram;279
Benzal chloride;air;urban air close to ground;kilogram;280
Strontium-89;air;urban air close to ground;kilo Becquerel;281
Monochlorobenzene;water;ocean;kilogram;282
Toluene;water;unspecified;kilogram;283
Sulfur;natural resource;in ground;kilogram;284
Cloquintocet-mexyl;water;surface water;kilogram;285
Maleic anhydride;air;unspecified;kilogram;286
Radioactive species, Nuclides, unspecified;water;unspecified;kilo Becquerel;287
Occupation, grassland, natural, for livestock grazing;natural resource;land;square meter-year;288
Oxygen;water;surface water;kilogram;289
Alpha-cypermethrin;air;non-urban air or from high stacks;kilogram;290
Silver I;soil;industrial;kilogram;291
Fluoride;water;unspecified;kilogram;292
Propionic acid;air;urban air close to ground;kilogram;293
Benzo(b)fluoranthene;water;unspecified;kilogram;294
Silicon;soil;industrial;kilogram;295
Diethylamine;air;non-urban air or from high stacks;kilogram;296
